neighbourhood_cleansed,accommodates,bathrooms,bedrooms,beds,daily_price,number_of_reviews,review_scores_rating,review_scores_location,TV,WiFi,Air_Condition,Wheelchair_accessible,Kitchen,Breakfast,Elevator,Heating,Washer,Iron,Luggage_dropoff_allowed,Pets_allowed,Smoking_allowed
3,2,3,1,1,75,3,100,10,0,0,0,0,1,1,1,1,1,1,0,0,0
3,4,5,2,2,75,96,83,10,1,1,0,0,1,0,0,1,1,1,0,0,0
3,3,3,1,0,90,14,99,10,1,1,1,0,1,0,0,1,0,1,0,0,0
3,3,3,1,1,90,31,99,10,1,1,1,0,1,0,0,1,0,1,0,0,0
3,2,3,1,1,60,57,95,10,0,1,1,0,1,0,0,1,1,1,0,0,0
4,2,3,1,1,80,4,95,10,1,0,1,0,1,0,0,1,1,1,0,1,0
4,4,3,1,2,70,12,100,10,1,1,0,0,1,0,0,1,1,1,0,0,0
4,2,3,0,2,75,4,100,10,0,0,1,0,1,0,1,1,1,1,0,0,0
4,4,3,1,2,69,9,100,10,1,1,0,0,1,0,0,1,1,1,0,0,0
4,4,3,2,3,55,31,95,10,0,1,0,0,1,0,1,1,1,1,0,1,0
4,6,3,2,4,69,9,100,10,1,1,0,0,1,0,0,1,1,1,0,0,0
4,2,3,1,0,45,3,100,10,1,0,1,0,1,0,0,1,1,1,0,1,0
4,4,3,1,1,56,27,99,10,1,1,0,0,1,0,0,1,1,1,0,0,0
4,3,3,1,1,90,6,100,10,0,1,1,0,1,0,0,1,1,1,0,0,0
4,4,3,2,3,54,4,95,10,0,1,1,0,1,0,0,1,1,1,0,0,0
4,4,3,1,2,90,1,100,10,1,1,1,0,1,0,0,1,0,1,0,0,0
5,4,3,1,4,70,19,93,10,0,1,0,1,1,0,1,1,1,1,0,0,0
5,2,3,1,1,58,5,95,10,1,1,0,0,1,0,0,1,1,1,0,0,0
5,1,3,1,1,50,19,98,10,1,1,0,0,1,0,1,1,0,1,0,0,0
5,2,3,0,1,69,82,94,10,0,1,1,0,1,0,0,1,1,1,0,0,0
5,2,3,0,2,59,312,94,10,1,1,1,0,1,0,0,1,0,1,0,0,0
5,2,3,1,1,55,94,90,10,0,1,1,0,1,0,1,1,0,1,0,0,0
5,6,5,2,3,100,99,94,10,1,1,1,0,1,0,0,1,0,1,0,0,0
5,2,3,0,2,39,48,93,10,1,1,0,0,1,0,0,1,1,1,0,0,0
5,5,3,1,3,70,29,97,10,1,1,0,0,1,0,0,1,1,1,0,0,0
5,4,3,1,2,95,6,97,10,1,1,1,0,1,0,0,1,0,1,0,0,0
5,2,3,1,1,65,13,95,10,0,1,0,0,1,1,0,1,1,1,0,0,0
5,3,3,1,2,50,6,100,10,1,0,1,0,1,0,0,1,1,1,0,0,0
5,2,3,1,1,95,25,99,10,1,1,0,0,1,0,0,1,1,1,0,0,0
